GEO_UNIT,COM_UNIT,GEO_SUB,COM_SUB,GEO_SECT,COM_SECT,GEO_DIST,COM_DIST,POSTAREA,X_COORD,Y_COORD,USER_,DELR,DELN,DELL,DELALL,WARD,NHS,POSTTOWN,CL_STD,CL_3,CL_6,CL_15,CL_45,CL_150,CL_STD_Txt,CL_3_Txt,CL_6_Txt,CL_15_Txt,CL_45_Txt,CL_150_Txt,SAND,SAND_Txt,SILT,SILT_Txt,SOFT,SOFT_Txt,PEAT,PEAT_Txt,FLOOD,FLOOD_Txt,Exp,Exp_Txt
PO301EL,PO30 1EL,PO301E,PO30 1E,PO301,PO30 1,PO30,PO30,PO,450100,88700,NR,28,2,0,30,MWQE,Q38,NEWPORT,7,7,7,7,7,7,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,2,Minimal,1,Minimal,1,Minimal,1,Minimal,1,Local Risk,3,Moderately Exposed
PO301EN,PO30 1EN,PO301E,PO30 1E,PO301,PO30 1,PO30,PO30,PO,450131,88676,R,1,0,0,1,MWQE,Q38,NEWPORT,7,7,7,7,7,7,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,2,Minimal,1,Minimal,1,Minimal,1,Minimal,1,Local Risk,3,Moderately Exposed
PO301EP,PO30 1EP,PO301E,PO30 1E,PO301,PO30 1,PO30,PO30,PO,450000,88700,R,9,0,0,9,MWQE,Q38,NEWPORT,7,7,7,7,7,7,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,2,Minimal,1,Minimal,1,Minimal,1,Minimal,1,Local Risk,3,Moderately Exposed
PO301EQ,PO30 1EQ,PO301E,PO30 1E,PO301,PO30 1,PO30,PO30,PO,449803,88612,R,23,0,0,23,MWQE,Q38,NEWPORT,7,7,7,7,7,7,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,2,Minimal,1,Minimal,1,Minimal,1,Minimal,1,Local Risk,3,Moderately Exposed
PO301ER,PO30 1ER,PO301E,PO30 1E,PO301,PO30 1,PO30,PO30,PO,449909,88663,R,26,0,0,26,MWQE,Q38,NEWPORT,7,7,7,7,7,7,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,2,Minimal,1,Minimal,1,Minimal,1,Minimal,1,Local Risk,3,Moderately Exposed
PO301ES,PO30 1ES,PO301E,PO30 1E,PO301,PO30 1,PO30,PO30,PO,449900,88500,R,5,0,0,5,MWQE,Q38,NEWPORT,7,7,7,7,7,7,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,2,Minimal,1,Minimal,1,Minimal,1,Minimal,1,Local Risk,3,Moderately Exposed
PO301ET,PO30 1ET,PO301E,PO30 1E,PO301,PO30 1,PO30,PO30,PO,450002,88576,NR,19,1,0,20,MWQE,Q38,NEWPORT,7,7,7,7,7,7,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,2,Minimal,1,Minimal,1,Minimal,1,Minimal,1,Local Risk,3,Moderately Exposed
PO301EU,PO30 1EU,PO301E,PO30 1E,PO301,PO30 1,PO30,PO30,PO,449902,88430,R,8,0,0,8,MWQE,Q38,NEWPORT,7,7,7,7,7,7,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,2,Minimal,1,Minimal,1,Minimal,1,Minimal,1,Local Risk,3,Moderately Exposed
PO301EW,PO30 1EW,PO301E,PO30 1E,PO301,PO30 1,PO30,PO30,PO,450191,88633,R,42,0,0,42,MWQE,Q38,NEWPORT,7,7,7,7,7,7,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,2,Minimal,1,Minimal,1,Minimal,1,Minimal,1,Local Risk,3,Moderately Exposed
PO301EX,PO30 1EX,PO301E,PO30 1E,PO301,PO30 1,PO30,PO30,PO,449952,88475,R,4,0,0,4,MWQB,Q38,NEWPORT,7,7,7,7,7,7,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,2,Minimal,1,Minimal,1,Minimal,1,Minimal,1,Local Risk,3,Moderately Exposed
PO301EY,PO30 1EY,PO301E,PO30 1E,PO301,PO30 1,PO30,PO30,PO,450000,88400,R,13,0,0,13,MWQE,Q38,NEWPORT,7,7,7,7,7,7,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,2,Minimal,1,Minimal,1,Minimal,1,Minimal,1,Local Risk,3,Moderately Exposed
PO301EZ,PO30 1EZ,PO301E,PO30 1E,PO301,PO30 1,PO30,PO30,PO,450000,88300,R,30,0,0,30,MWQE,Q38,NEWPORT,7,7,7,7,7,7,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,2,Minimal,1,Minimal,1,Minimal,1,Minimal,1,Local Risk,3,Moderately Exposed
PO301HA,PO30 1HA,PO301H,PO30 1H,PO301,PO30 1,PO30,PO30,PO,450144,88504,R,31,0,0,31,MWQE,Q38,NEWPORT,7,7,7,7,7,7,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,2,Minimal,1,Minimal,1,Minimal,1,Minimal,1,Local Risk,3,Moderately Exposed
PO301HB,PO30 1HB,PO301H,PO30 1H,PO301,PO30 1,PO30,PO30,PO,450237,88390,R,51,0,0,51,MWQE,Q38,NEWPORT,7,7,7,7,7,7,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,2,Minimal,1,Minimal,1,Minimal,1,Minimal,1,Local Risk,3,Moderately Exposed
PO301HD,PO30 1HD,PO301H,PO30 1H,PO301,PO30 1,PO30,PO30,PO,450098,88506,R,2,0,0,2,MWQE,Q38,NEWPORT,7,7,7,7,7,7,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,2,Minimal,1,Minimal,1,Minimal,1,Minimal,1,Local Risk,3,Moderately Exposed
PO301HE,PO30 1HE,PO301H,PO30 1H,PO301,PO30 1,PO30,PO30,PO,450110,88640,R,25,0,0,25,MWQE,Q38,NEWPORT,7,7,7,7,7,7,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,2,Minimal,1,Minimal,1,Minimal,1,Minimal,1,Local Risk,3,Moderately Exposed
PO301HF,PO30 1HF,PO301H,PO30 1H,PO301,PO30 1,PO30,PO30,PO,450174,88632,R,15,0,0,15,MWQE,Q38,NEWPORT,7,7,7,7,7,7,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,2,Minimal,1,Minimal,1,Minimal,1,Minimal,1,Local Risk,3,Moderately Exposed
PO301HG,PO30 1HG,PO301H,PO30 1H,PO301,PO30 1,PO30,PO30,PO,450224,88458,NR,36,2,0,38,MWQE,Q38,NEWPORT,7,7,7,7,7,7,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,2,Minimal,1,Minimal,1,Minimal,1,Minimal,1,Local Risk,3,Moderately Exposed
PO301HH,PO30 1HH,PO301H,PO30 1H,PO301,PO30 1,PO30,PO30,PO,450219,88238,R,28,0,0,28,MWQE,Q38,NEWPORT,8,8,8,8,8,8,Extremely Low,Extremely Low,Extremely Low,Extremely Low,Extremely Low,Extremely Low,2,Minimal,1,Minimal,1,Minimal,1,Minimal,1,Local Risk,3,Moderately Exposed
PO301HJ,PO30 1HJ,PO301H,PO30 1H,PO301,PO30 1,PO30,PO30,PO,450317,88269,R,8,0,0,8,MWQE,Q38,NEWPORT,7,7,7,7,7,7,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,2,Minimal,1,Minimal,1,Minimal,1,Minimal,1,Local Risk,3,Moderately Exposed
PO301HL,PO30 1HL,PO301H,PO30 1H,PO301,PO30 1,PO30,PO30,PO,450363,88105,N,0,1,0,1,MWQH,Q38,NEWPORT,8,8,8,8,8,8,Extremely Low,Extremely Low,Extremely Low,Extremely Low,Extremely Low,Extremely Low,2,Minimal,1,Minimal,1,Minimal,1,Minimal,1,Local Risk,3,Moderately Exposed
PO301HN,PO30 1HN,PO301H,PO30 1H,PO301,PO30 1,PO30,PO30,PO,450000,88600,R,8,0,0,8,MWQE,Q38,NEWPORT,7,7,7,7,7,7,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,2,Minimal,1,Minimal,1,Minimal,1,Minimal,1,Local Risk,3,Moderately Exposed
PO301HP,PO30 1HP,PO301H,PO30 1H,PO301,PO30 1,PO30,PO30,PO,449307,88640,N,0,1,0,1,MWQB,Q38,NEWPORT,7,7,7,7,7,7,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,2,Minimal,1,Minimal,1,Minimal,1,Minimal,1,Local Risk,3,Moderately Exposed
PO301HQ,PO30 1HQ,PO301H,PO30 1H,PO301,PO30 1,PO30,PO30,PO,450216,88431,L,0,0,1,1,MWQE,Q38,NEWPORT,7,7,7,7,7,7,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,2,Minimal,1,Minimal,1,Minimal,1,Minimal,1,Local Risk,3,Moderately Exposed
PO301HR,PO30 1HR,PO301H,PO30 1H,PO301,PO30 1,PO30,PO30,PO,450376,88217,N,0,1,0,1,MWQH,Q38,NEWPORT,8,8,8,8,8,8,Extremely Low,Extremely Low,Extremely Low,Extremely Low,Extremely Low,Extremely Low,2,Minimal,1,Minimal,1,Minimal,1,Minimal,1,Local Risk,3,Moderately Exposed
